date,strategy_name,tenor,trade_id,leg_id,symbol,instrument,expiry_dt,strike_pr,option_typ,side,qty_lots,lot_size,units,entry_date,exit_date,entry_price,settle_used,settle_prev_used,mtm_pnl,gap_risk_pnl_proxy,gap_method,price_method,rate_91d,rate_182d,rate_364d,vix_close,contracts,open_int,chg_in_oi
2025-01-29,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,398.35,286.4,-8396.250000000004,21480.0,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0659,0.0668,0.0654199999999999,18.64,59506.0,806850.0,229200.0
2025-01-29,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,294.65,364.55,5242.500000000003,21847.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0659,0.0668,0.0654199999999999,18.64,55362.0,888075.0,447675.0
2025-01-30,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,441.2,398.35,-3213.7499999999973,24663.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.06545,17.39,45417.0,759150.0,-47700.0
2025-01-30,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,208.35,294.65,6472.499999999999,22098.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0658,0.0668,0.06545,17.39,79846.0,1073475.0,185400.0
2025-01-31,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,CE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,470.3,470.3,470.3,-0.0,35272.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0665,0.06573,16.25,82378.0,3998700.0,1395975.0
2025-01-31,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23500.0,PE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,348.15,348.15,348.15,-0.0,10867.499999999998,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0665,0.06573,16.25,89672.0,4603275.0,1629825.0
2025-01-31,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,567.5,441.2,-9472.5,18333.75,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0665,0.06573,16.25,29073.0,825600.0,66450.0
2025-01-31,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000008,NIFTY,OPTIDX,2025-02-06,23100.0,PE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,299.15,97.15,208.35,8340.0,15626.25,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0665,0.06573,16.25,305121.0,2166600.0,1093125.0
2025-02-03,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000001,NIFTY,OPTIDX,2025-02-27,23500.0,CE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,470.3,295.8,470.3,13087.5,35272.5,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0666,0.0653099999999999,14.35,58023.0,4236150.0,235425.0
2025-02-03,short_straddle,MONTHLY,short_straddle|NIFTY|MONTHLY|20250227|20250131,short_straddle|NIFTY|MONTHLY|20250227|20250131::L000002,NIFTY,OPTIDX,2025-02-27,23500.0,PE,-1,1,75.0,-75.0,2025-01-31,2025-02-27,348.15,350.5,348.15,-176.2500000000017,12562.499999999889,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0666,0.0653099999999999,14.35,45170.0,4310700.0,-418275.0
2025-02-03,short_straddle,WEEKLY,short_straddle|NIFTY|WEEKLY|20250206|20250124,short_straddle|NIFTY|WEEKLY|20250206|20250124::L000007,NIFTY,OPTIDX,2025-02-06,23100.0,CE,-1,1,75.0,-75.0,2025-01-24,2025-02-06,363.85,323.95,567.5,18266.25,26111.25000000011,INTRINSIC_OPEN_PROXY,SETTLE_USED,0.0657,0.0666,0.0653099999999999,14.35,140798.0,816750.0,73350.0
